地区名,センター,燃える,燃えない,カン、ペットボトル,ビン
朝日,市民生活課,月 木,金,水,水
阿難祖地頭方,市民生活課,火 金,木,水,水
阿難祖領家,市民生活課,火 金,木,水,水
荒子町,市民生活課,火 金,月,水,水
有明町の一部,市民生活課,月 木,火,水,水
有明町の一部,市民生活課,月 木,金,水,水
飯降,市民生活課,火 金,木,水,水
医王寺,市民生活課,火 金,月,水,水
石谷,市民生活課,月 木,火,水,水
泉町1～3区,市民生活課,火 金,月,水,水
板倉,市民生活課,月 木,金,水,水
糸魚町,市民生活課,火 金,月,水,水
犬山,市民生活課,火 金,木,水,水
井ノ口,市民生活課,月 木,金,水,水
猪島,市民生活課,火 金,月,水,水
今井,市民生活課,火 金,月,水,水
右近次郎,市民生活課,火 金,木,水,水
上野,市民生活課,月 木,金,水,水
榎,市民生活課,火 金,月,水,水
太田,市民生活課,火 金,木,水,水
大月,市民生活課,月 木,火,水,水
大西出,市民生活課,火 金,月,水,水
大矢戸,市民生活課,火 金,木,水,水
小黒見,市民生活課,月 木,火,水,水
落合,市民生活課,月 木,火,水,水
尾永見,市民生活課,火 金,木,水,水
貝皿,市民生活課,月 木,金,水,水
開発,市民生活課,火 金,月,水,水
柿ヶ嶋,市民生活課,月 木,火,水,水
角野,市民生活課,月 木,金,水,水
春日2丁目西,市民生活課,火 金,月,水,水
春日2丁目東の一部,市民生活課,火 金,月,水,水
春日1丁目,市民生活課,月 木,火,水,水
春日2丁目東の一部,市民生活課,月 木,火,水,水
春日3丁目,市民生活課,月 木,火,水,水
春日野,市民生活課,火 金,月,水,水
要町,市民生活課,火 金,木,水,水
上荒井,市民生活課,火 金,木,水,水
上打波,市民生活課,月 木,金,水,水
上大納,市民生活課,月 木,金,水,水
上黒谷,市民生活課,火 金,木,水,水
上五条方,市民生活課,火 金,月,水,水
上据,市民生活課,火 金,月,水,水
上舌,市民生活課,火 金,木,水,水
上篠座2区の一部,市民生活課,火 金,月,水,水
上篠座2区の一部,市民生活課,月 木,火,水,水
上丁,市民生活課,火 金,木,水,水
川合,市民生活課,月 木,金,水,水
川上,市民生活課,月 木,金,水,水
木落,市民生活課,月 木,金,水,水
北大野,市民生活課,火 金,木,水,水
北御門,市民生活課,火 金,月,水,水
金山,市民生活課,月 木,火,水,水
国時町,市民生活課,月 木,火,水,水
鍬掛,市民生活課,火 金,木,水,水
御給,市民生活課,火 金,月,水,水
木本領家,市民生活課,火 金,月,水,水
小矢戸,市民生活課,火 金,木,水,水
御領,市民生活課,月 木,火,水,水
幸町,市民生活課,月 木,火,水,水
坂戸,市民生活課,火 金,木,水,水
佐開,市民生活課,火 金,月,水,水
篠座町,市民生活課,火 金,月,水,水
下麻生嶋,市民生活課,月 木,金,水,水
下打波,市民生活課,月 木,金,水,水
下大納,市民生活課,月 木,金,水,水
下黒谷,市民生活課,火 金,木,水,水
下郷,市民生活課,火 金,月,水,水
下五条方,市民生活課,火 金,月,水,水
下据,市民生活課,火 金,月,水,水
下舌,市民生活課,火 金,木,水,水
下舌下1・2区,市民生活課,火 金,木,水,水
下山,市民生活課,月 木,金,水,水
下唯野,市民生活課,月 木,金,水,水
下丁,市民生活課,火 金,木,水,水
庄林,市民生活課,火 金,木,水,水
菖蒲池,市民生活課,月 木,火,水,水
城北町,市民生活課,火 金,木,水,水
城町1～3区,市民生活課,火 金,木,水,水
新河原,市民生活課,月 木,金,水,水
新庄,市民生活課,火 金,月,水,水
新町,市民生活課,火 金,木,水,水
新塚原,市民生活課,月 木,金,水,水
新田,市民生活課,月 木,金,水,水
清瀧,市民生活課,火 金,月,水,水
清和町,市民生活課,月 木,金,水,水
大門,市民生活課,火 金,木,水,水
高砂町1～2区,市民生活課,火 金,月,水,水
高砂町3～4区の一部,市民生活課,火 金,月,水,水
高砂町3～4区の一部,市民生活課,月 木,火,水,水
高砂町5区,市民生活課,月 木,火,水,水
田野,市民生活課,月 木,金,水,水
千歳,市民生活課,火 金,木,水,水
塚原,市民生活課,月 木,金,水,水
月美町の一部,市民生活課,月 木,火,水,水
月美町の一部,市民生活課,月 木,金,水,水
土打,市民生活課,月 木,金,水,水
土布子,市民生活課,月 木,金,水,水
天神町,市民生活課,火 金,月,水,水
稲郷,市民生活課,火 金,月,水,水
堂嶋,市民生活課,月 木,火,水,水
堂本,市民生活課,月 木,火,水,水
富嶋,市民生活課,月 木,金,水,水
富塚,市民生活課,月 木,金,水,水
友江の一部,市民生活課,月 木,火,水,水
友江の一部,市民生活課,月 木,金,水,水
友兼,市民生活課,火 金,月,水,水
中荒井町1～2丁目,市民生活課,火 金,木,水,水
中据,市民生活課,火 金,月,水,水
中龍,市民生活課,月 木,金,水,水
中津川,市民生活課,月 木,金,水,水
中西出,市民生活課,火 金,月,水,水
中野町2丁目の一部,市民生活課,月 木,金,水,水
中野町1丁目,市民生活課,火 金,木,水,水
中野町2丁目の一部,市民生活課,火 金,木,水,水
中挾町1区の一部,市民生活課,月 木,火,水,水
中挾町1区の一部,市民生活課,月 木,金,水,水
中挾町2区,市民生活課,月 木,金,水,水
中保,市民生活課,月 木,火,水,水
中村町,市民生活課,火 金,月,水,水
中丁,市民生活課,火 金,木,水,水
七板,市民生活課,月 木,金,水,水
西市,市民生活課,火 金,木,水,水
西大月,市民生活課,火 金,木,水,水
西勝原,市民生活課,月 木,金,水,水
錦町1～3区,市民生活課,火 金,木,水,水
西里,市民生活課,火 金,月,水,水
西据,市民生活課,火 金,月,水,水
西山,市民生活課,火 金,月,水,水
後野,市民生活課,月 木,金,水,水
野中,市民生活課,火 金,月,水,水
橋爪,市民生活課,月 木,火,水,水
